telegram_id,tickets_count,username
902858508,9,RobertDowneiJr
8123192921,9,jshjsksks
919972401,9,headshot
5907486551,9,dalakaj
381184841,9,ifeellow
6334063425,9,artyrekqqe_Off
7551659791,9,Pmbdii
510346772,9,quasar1477
6043567207,9,nikatoshi
737098855,8,KypuD0N63
878149597,8,megagamedoctor
1367371077,8,quanettt
856083039,8,bespee
1075238530,8,Neiroks
648171815,8,gorillaglue
7936893399,8,tgskipper
1225934569,8,nftwin0
7299678176,8,realspecialist
2042871695,8,pon4toy
5222870032,8,CryptoReich
632903710,8,dimkthegreat
767371708,8,maoaq
6483308554,8,Sumnek
8085926304,8,jonklir
443250513,8,zemlyak
5762383586,8,ZkiVi1
5250318411,8,ens4u
522976451,8,richkach666
1757351037,8,eloyF
7737888045,8,kychertg
7209307998,8,Imrsali
7693043474,8,babywearchik
8032418215,8,Yuliia_Ukraine67
1232089862,8,drinknteqla
1349362098,8,DANIIL_58RUS
6784494150,8,gerblch0
1087114113,7,ipizc
506761763,7,ke_Ppa
6192300141,7,jonhdeiviharris
6316267471,7,GNX1KNGZ
1780328531,7,mxkeevsky
6435117365,7,lilithsucks
954462269,7,nosigh
664608663,7,morshikk
7373180373,7,bsysbbx
719038769,7,WillEinKuss
1490490774,7,ma_rx
964424015,7,yapozitiv4ik
1981852166,7,fenebutt
1580326514,7,tiltoner
6839104545,7,bigdic10
7939437962,7,patriarhreserve
74759199,7,vuuda
1825529210,7,daqxu
747732950,7,thepubIicenemy
259129627,7,vvs775
7977358641,7,Uzshokhx
7583103983,7,pr0rok_mira
5270836798,7,Iopivi_n
6358074217,7,aminsiko
7082020970,7,blanora1
433236136,7,nikita_tsg
673097152,7,ccaarrtteell
601268038,7,zlo1bigtapok
8152386984,7,staychillo
5509761743,7,gymbro000000
551262992,7,Monsieur_Klaus
8286218743,7,vresoo
2030768051,7,TallqW_1
6898105573,7,Ms_ChikaRantikaaa
512337753,6,snamuhbus9
5256632306,6,smirnoff_ton
1050422886,6,STALIN989
5580461041,6,ME_7877
7471870127,6,BMFDGG
1888594950,6,luvisthegoat
5168435042,6,desperat1sss
5798497387,6,ReallyTwizzyRich
819351215,6,stanchenkovvv
1741444399,6,Sky_Lerrrr
1772024340,6,wvemor
1499684463,6,Genesis666x
476091679,6,soltony
5176518569,6,volyna74
1076871155,6,surfeit_10
369912397,6,Industr1al
6599810043,6,Peluspepe
854186507,6,TrIk33
782944564,6,kkaver
376438072,6,GoodwinLMAO
1651726364,6,kuznetsov_22
6922856278,6,GlebVrt
7136037608,6,Magistero_nft
5287825587,6,Adsll
750676238,6,Katya_Bufera
2122944259,6,PFTPR1161
7671639030,6,Harckary
1512389990,6,sjwde
6465539688,6,Sashavaskevych
5066207904,6,b3ast_b3ast
7666932664,6,Torgdeal
6406197573,6,DxfStr8w
5138714106,6,NaRadostMame
1678766518,6,BetaDecay
7274223069,6,versaceonelove
5700998789,6,trinyx
873970688,6,Markoni_pro
1782936339,6,f444f4f4d4544
1986733150,6,Mr_kisya_1
1331847487,6,Aristotaan
463162289,6,milllllovee
6533481352,6,zxcnana101
93030396,6,Pv_loc
5418608670,6,TakT_yc
6877080168,6,V1merAM
690826973,6,febyfourteen
5147092283,6,nastyoushka
1726482062,6,hhwhwq
627590395,6,
189269714,5,r4cc00nize
805025141,5,director_soon
1054989294,5,yuryao
703875333,5,im_devil002
6502359394,5,globaldurov
7716909088,5,sellandbuygiftsq
510862645,5,vipfragment
1009292046,5,hmcdx
5952394062,5,wennssp
5424994248,5,l_am_here_again
742291694,5,Frayz1k
7685413635,5,qtsbaj
1294928458,5,canon_32
1144375732,5,
1067353789,5,dicklarge
6549921987,5,bloood15
5110886953,5,PE3AL_BENb1
896638132,5,Clyukshop
7423989259,5,AntiWebAttack
6461242620,5,coins_send
5414406860,5,z_bro0
7945645241,5,cleverest
770601187,5,fredror
896908168,5,turdiboev_s
91402823,5,Levelller
1944861381,5,zastuntil
355554357,5,yoyura
568420549,5,cz_aster_binance
7761430624,5,id13371
1479544424,5,vevgo
655531187,5,
5130004989,5,aasel
5466593534,5,HOG297
5031682207,5,ididiidine
5042541062,5,brokoIy
1543721927,5,legasiks
1304516230,5,Paul_Du_Rove00
6424869228,5,dieinpoor
443491083,5,vvs_interes
6638144248,5,itsxlh
1418437531,5,fyrtex
666982029,5,s4vind4n
7135178823,5,Anubis_cat
1881081945,5,woudnexxx
1453036199,5,fearoftraff
1025609743,5,nikitosk0
334329002,5,txmpst
420502302,5,D056056
1064778208,5,tr1pize
1173730929,5,RepaTurkishKebab
1839977004,5,Ambassad01
907123407,5,awakoto
1835906223,5,I4_20Jl6036
1204750543,5,Ibra_TV
664743930,5,bagl02
5190595147,5,BOSTON4IK1
5605799992,5,oldbabighon
7718398513,5,darthjav
5301937142,5,nadne20000L
949180994,5,fixok
7029493397,5,no_one_000001
